CANADIAN_CAPITALS_0001,Capital of Ontario (ON),Toronto
CANADIAN_CAPITALS_0002,Toronto,Capital of Ontario (ON)
CANADIAN_CAPITALS_0003,Capital of Quebec (QC),Quebec City
CANADIAN_CAPITALS_0004,Quebec City,Capital of Quebec (QC)
CANADIAN_CAPITALS_0005,Capital of Nova Scotia (NS),Halifax
CANADIAN_CAPITALS_0006,Halifax,Capital of Nova Scotia (NS)
CANADIAN_CAPITALS_0007,Capital of New Brunswick (NB),Fredericton
CANADIAN_CAPITALS_0008,Fredericton,Capital of New Brunswick (NB)
CANADIAN_CAPITALS_0009,Capital of Manitoba (MB),Winnipeg
CANADIAN_CAPITALS_0010,Winnipeg,Capital of Manitoba (MB)
CANADIAN_CAPITALS_0011,Capital of British Columbia (BC),Victoria
CANADIAN_CAPITALS_0012,Victoria,Capital of British Columbia (BC)
CANADIAN_CAPITALS_0013,Capital of Prince Edward Island (PE),Charlottetown
CANADIAN_CAPITALS_0014,Charlottetown,Capital of Prince Edward Island (PE)
CANADIAN_CAPITALS_0015,Capital of Saskatchewan (SK),Regina
CANADIAN_CAPITALS_0016,Regina,Capital of Saskatchewan (SK)
CANADIAN_CAPITALS_0017,Capital of Alberta (AB),Edmonton
CANADIAN_CAPITALS_0018,Edmonton,Capital of Alberta (AB)
CANADIAN_CAPITALS_0019,Capital of Newfoundland and Labrador (NL),St. John's
CANADIAN_CAPITALS_0020,St. John's,Capital of Newfoundland and Labrador (NL)
CANADIAN_CAPITALS_0021,Capital of Northwest Territories (NT),Yellowknife
CANADIAN_CAPITALS_0022,Yellowknife,Capital of Northwest Territories (NT)
CANADIAN_CAPITALS_0023,Capital of Yukon (YT),Whitehorse
CANADIAN_CAPITALS_0024,Whitehorse,Capital of Yukon (YT)
CANADIAN_CAPITALS_0025,Capital of Nunavut (NU),Iqaluit
CANADIAN_CAPITALS_0026,Iqaluit,Capital of Nunavut (NU)
CANADIAN_CAPITALS_0027,Most Populous City in British Columbia (BC),Vancouver
CANADIAN_CAPITALS_0028,Vancouver,Most Populous City in British Columbia (BC)
CANADIAN_CAPITALS_0029,Most Populous City in Quebec (QC),Montreal
CANADIAN_CAPITALS_0030,Montreal,Most Populous City in Quebec (QC)
CANADIAN_CAPITALS_0031,Most Populous City in Alberta (AB),Calgary
CANADIAN_CAPITALS_0032,Calgary,Most Populous City in Alberta (AB)
CANADIAN_CAPITALS_0033,Most Populous City in Saskatchewan (SK),Saskatoon
CANADIAN_CAPITALS_0034,Saskatoon,Most Populous City in Saskatchewan (SK)
CANADIAN_CAPITALS_0035,Most Populous City in New Brunswick (NB),Moncton
CANADIAN_CAPITALS_0036,Moncton,Most Populous City in New Brunswick (NB)
