Capital of Ontario (ON),Toronto
Toronto,Capital of Ontario (ON)
Capital of Quebec (QC),Quebec City
Quebec City,Capital of Quebec (QC)
Capital of Nova Scotia (NS),Halifax
Halifax,Capital of Nova Scotia (NS)
Capital of New Brunswick (NB),Fredericton
Fredericton,Capital of New Brunswick (NB)
Capital of Manitoba (MB),Winnipeg
Winnipeg,Capital of Manitoba (MB)
Capital of British Columbia (BC),Victoria
Victoria,Capital of British Columbia (BC)
Capital of Prince Edward Island (PE),Charlottetown
Charlottetown,Capital of Prince Edward Island (PE)
Capital of Saskatchewan (SK),Regina
Regina,Capital of Saskatchewan (SK)
Capital of Alberta (AB),Edmonton
Edmonton,Capital of Alberta (AB)
Capital of Newfoundland and Labrador (NL),St. John's
St. John's,Capital of Newfoundland and Labrador (NL)
Capital of Northwest Territories (NT),Yellowknife
Yellowknife,Capital of Northwest Territories (NT)
Capital of Yukon (YT),Whitehorse
Whitehorse,Capital of Yukon (YT)
Capital of Nunavut (NU),Iqaluit
Iqaluit,Capital of Nunavut (NU)
Most Populous City in British Columbia (BC),Vancouver
Vancouver,Most Populous City in British Columbia (BC)
Most Populous City in Quebec (QC),Montreal
Montreal,Most Populous City in Quebec (QC)
Most Populous City in Alberta (AB),Calgary
Calgary,Most Populous City in Alberta (AB)
Most Populous City in Saskatchewan (SK),Saskatoon
Saskatoon,Most Populous City in Saskatchewan (SK)
Most Populous City in New Brunswick (NB),Moncton
Moncton,Most Populous City in New Brunswick (NB)
