2004 (6/7),Slovakia
Slovakia,2004 (6/7)
1982,Spain
Spain,1982
2017,Montenegro 
Montenegro ,2017
2004 (5/7),Romania
Romania,2004 (5/7)
1999 (3/3),Poland
Poland,1999 (3/3)
2004 (4/7),Lithuania
Lithuania,2004 (4/7)
Sweden,2024
2024,Sweden
1999 (1/3),Czech Republic 
Czech Republic ,1999 (1/3)
2020,North Macedonia
North Macedonia,2020
1949 - Founder (2/12),Canada
Canada,1949 - Founder (2/12)
1949 - Founder (3/12),Denmark
Denmark,1949 - Founder (3/12)
1949 - Founder (4/12),France
France,1949 - Founder (4/12)
1949 - Founder (5/12),Iceland
Iceland,1949 - Founder (5/12)
1949 - Founder (6/12),Italy
Italy,1949 - Founder (6/12)
1949 - Founder (8/12),Netherlands 
Netherlands ,1949 - Founder (8/12)
1949 - Founder (11/12),United Kingdom
United Kingdom,1949 - Founder (11/12)
1955/1990,(West) Germany
(West) Germany,1955/1990
2004 (2/7),Estonia
Estonia,2004 (2/7)
2004 (7/7),Slovenia
Slovenia,2004 (7/7)
2023,Finland 
Finland ,2023
1949 - Founder (1/12),Belgium
Belgium,1949 - Founder (1/12)
1949 - Founder (7/12),Luxembourg 
Luxembourg ,1949 - Founder (7/12)
1949 - Founder (9/12),Norway
Norway,1949 - Founder (9/12)
1949 - Founder (10/12),Portugal 
Portugal ,1949 - Founder (10/12)
1949 - Founder (12/12),United States
United States,1949 - Founder (12/12)
1952 (1/2),Greece
Greece,1952 (1/2)
1952 (2/2),Turkey
Turkey,1952 (2/2)
1999 (2/3),Hungary
Hungary,1999 (2/3)
2004 (1/7),Bulgaria
Bulgaria,2004 (1/7)
2004 (3/7),Latvia
Latvia,2004 (3/7)
2009 (1/2),Albania
Albania,2009 (1/2)
2009 (2/2),Croatia 
Croatia ,2009 (2/2)
