1985,Mel Gibson
Mel Gibson,1985
1986,Mark Harmon
Mark Harmon,1986
1987,Harry Hamlin
Harry Hamlin,1987
1988,John F. Kennedy Jr.
John F. Kennedy Jr.,1988
1989,Sean Connery
Sean Connery,1989
1990,Tom Cruise
Tom Cruise,1990
1991,Patrick Swayze
Patrick Swayze,1991
1992,Nick Nolte
Nick Nolte,1992
1993,Richard Gere (1/2) and Cindy Crawford
Richard Gere (1/2) and Cindy Crawford,1993
1995,Brad Pitt (1/2)
Brad Pitt (1/2),1995
1996,Denzel Washington 
Denzel Washington ,1996
1997,George Clooney (1/2)
George Clooney (1/2),1997
1998,Harrison Ford
Harrison Ford,1998
1999,Richard Gere (2/2)
Richard Gere (2/2),1999
2000,Brad Pitt (2/2)
Brad Pitt (2/2),2000
2001,Pierce Brosnan
Pierce Brosnan,2001
2002,Ben Affleck
Ben Affleck,2002
2003,Johnny Depp (1/2)
Johnny Depp (1/2),2003
2004,Jude Law
Jude Law,2004
2005,Matthew McConaughey 
Matthew McConaughey ,2005
2006,George Clooney (2/2)
George Clooney (2/2),2006
2007,Matt Damon
Matt Damon,2007
2008,Hugh Jackman
Hugh Jackman,2008
2009,Johnny Depp (2/2)
Johnny Depp (2/2),2009
2010,Ryan Reynolds 
Ryan Reynolds ,2010
2011,Bradley Cooper
Bradley Cooper,2011
2012,Channing Tatum
Channing Tatum,2012
2013,Adam Levine
Adam Levine,2013
2014,Chris Hemsworth
Chris Hemsworth,2014
2015,David Beckham
David Beckham,2015
2016,"Dwayne ""The Rock"" Johnson"
"Dwayne ""The Rock"" Johnson",2016
2017,Blake Shelton
Blake Shelton,2017
2018,Idris Elba
Idris Elba,2018
2019,John Legend
John Legend,2019
2020,Michael B. Jordan
Michael B. Jordan,2020
2021,Paul Rudd
Paul Rudd,2021
2022,Chris Evans
Chris Evans,2022
2023,Patrick Dempsey
Patrick Dempsey,2023
2024,John Krasinski
John Krasinski,2024
2025,Jonathan Bailey
Jonathan Bailey,2025
