"Los Angeles, CA",3.9 million
3.9 million,"Los Angeles, CA"
"New York City, NY",8.5 million
8.5 million,"New York City, NY"
"Jacksonville, FL",1.0 million
1.0 million,"Jacksonville, FL"
"Dallas, TX",1.3 million
1.3 million,"Dallas, TX"
"Phoenix, AZ",1.7 million
1.7 million,"Phoenix, AZ"
"Chicago, IL",2.7 million
2.7 million,"Chicago, IL"
"San Antonio, TX",1.5 million
1.5 million,"San Antonio, TX"
"Houston, TX",2.4 million
2.4 million,"Houston, TX"
"Philadelphia, PA",1.6 million
1.6 million,"Philadelphia, PA"
"San Diego, CA",1.4 million
1.4 million,"San Diego, CA"
"Austin, TX","990,000"
"990,000","Austin, TX"
"Fort Worth, TX",1.0 million
1.0 million,"Fort Worth, TX"
"San Jose, CA",1.0 million
1.0 million,"San Jose, CA"
"Columbus, OH","930,000"
"930,000","Columbus, OH"
"Charlotte, NC","940,000"
"940,000","Charlotte, NC"
"Indianapolis, IN","890,000"
"890,000","Indianapolis, IN"
"San Francisco, CA","830,000"
"830,000","San Francisco, CA"
"Seattle, WA","780,000"
"780,000","Seattle, WA"
"Denver, CO","730,000"
"730,000","Denver, CO"
"Oklahoma City, OK","710,000"
"710,000","Oklahoma City, OK"
"Washington, DC","700,000"
"700,000","Washington, DC"
"Nashville, TN ","700,000"
"700,000","Nashville, TN "
