Indiana,Indianapolis
Indianapolis,Indiana
Texas,Austin
Austin,Texas
Oklahoma,Oklahoma City
Oklahoma City,Oklahoma
Massachusetts,Boston
Boston,Massachusetts
Alaska,Juneau
Juneau,Alaska
Colorado,Denver
Denver,Colorado
Hawaii,Honolulu
Honolulu,Hawaii
Ohio,Columbus
Columbus,Ohio
Illinois,Springfield
Springfield,Illinois
Arkansas,Little Rock
Little Rock,Arkansas
Georgia,Atlanta
Atlanta,Georgia
Minnesota,Saint Paul
Saint Paul,Minnesota
Tennessee,Nashville
Nashville,Tennessee
New York,Albany
Albany,New York
Nevada,Carson City
Carson City,Nevada
North Carolina,Raleigh
Raleigh,North Carolina
West Virginia,Charleston
Charleston,West Virginia
Wyoming,Cheyenne
Cheyenne,Wyoming
Maine,Augusta
Augusta,Maine
California,Sacramento
Sacramento,California
Wisconsin,Madison
Madison,Wisconsin
Utah,Salt Lake City
Salt Lake City,Utah
Arizona,Phoenix
Phoenix,Arizona
Rhode Island,Providence
Providence,Rhode Island
Vermont,Montpelier
Montpelier,Vermont
Kansas,Topeka
Topeka,Kansas
Nebraska,Lincoln
Lincoln,Nebraska
Florida,Tallahassee
Tallahassee,Florida
Idaho,Boise
Boise,Idaho
Mississippi,Jackson
Jackson,Mississippi
South Dakota,Pierre
Pierre,South Dakota
Iowa,Des Moines
Des Moines,Iowa
Montana,Helena
Helena,Montana
New Jersey,Trenton
Trenton,New Jersey
South Carolina,Columbia
Columbia,South Carolina
Washington,Olympia
Olympia,Washington
New Mexico,Santa Fe
Santa Fe,New Mexico
Louisiana,Baton Rouge
Baton Rouge,Louisiana
Missouri,Jefferson City
Jefferson City,Missouri
Delaware,Dover
Dover,Delaware
Michigan,Lansing
Lansing,Michigan
Oregon,Salem
Salem,Oregon
Alabama,Montgomery
Montgomery,Alabama
North Dakota,Bismarck
Bismarck,North Dakota
Maryland,Annapolis
Annapolis,Maryland
New Hampshire,Concord
Concord,New Hampshire
Virginia,Richmond
Richmond,Virginia
Connecticut,Hartford
Hartford,Connecticut
Pennsylvania,Harrisburg
Harrisburg,Pennsylvania
Kentucky,Frankfort
Frankfort,Kentucky
Puerto Rico,San Juan
San Juan,Puerto Rico
Guam,Hagatna
Hagatna,Guam
American Samoa,Pago Pago
Pago Pago,American Samoa
Northern Mariana Islands ,Saipan
Saipan,Northern Mariana Islands 
U.S. Virgin Islands ,Charlotte Amalie
Charlotte Amalie,U.S. Virgin Islands 
